feature,data_type,missing_count,missing_percentage,is_label,approx_unique_values,constant,initial_status
flow_duration,float32,0,0.0,False,91245,False,INVESTIGATE
Header_Length,float32,0,0.0,False,49287,False,INVESTIGATE
Protocol Type,float32,0,0.0,False,1531,False,INVESTIGATE
Duration,float32,0,0.0,False,3659,False,INVESTIGATE
Rate,float32,0,0.0,False,186651,False,INVESTIGATE
Srate,float32,0,0.0,False,186651,False,INVESTIGATE
Drate,float32,0,0.0,False,21,False,INVESTIGATE
fin_flag_number,float32,0,0.0,False,2,False,INVESTIGATE
syn_flag_number,float32,0,0.0,False,2,False,INVESTIGATE
rst_flag_number,float32,0,0.0,False,2,False,INVESTIGATE
psh_flag_number,float32,0,0.0,False,2,False,INVESTIGATE
ack_flag_number,float32,0,0.0,False,2,False,INVESTIGATE
ece_flag_number,float32,0,0.0,False,2,False,INVESTIGATE
cwr_flag_number,float32,0,0.0,False,1,False,INVESTIGATE
ack_count,float32,0,0.0,False,144,False,INVESTIGATE
syn_count,float32,0,0.0,False,517,False,INVESTIGATE
fin_count,float32,0,0.0,False,235,False,INVESTIGATE
urg_count,float32,0,0.0,False,3708,False,INVESTIGATE
rst_count,float32,0,0.0,False,7076,False,INVESTIGATE
HTTP,float32,0,0.0,False,2,False,INVESTIGATE
HTTPS,float32,0,0.0,False,2,False,INVESTIGATE
DNS,float32,0,0.0,False,2,False,INVESTIGATE
Telnet,float32,0,0.0,False,1,True,REMOVE
SMTP,float32,0,0.0,False,1,False,INVESTIGATE
SSH,float32,0,0.0,False,2,False,INVESTIGATE
IRC,float32,0,0.0,False,1,True,REMOVE
TCP,float32,0,0.0,False,2,False,INVESTIGATE
UDP,float32,0,0.0,False,2,False,INVESTIGATE
DHCP,float32,0,0.0,False,1,False,INVESTIGATE
ARP,float32,0,0.0,False,2,False,INVESTIGATE
ICMP,float32,0,0.0,False,2,False,INVESTIGATE
IPv,float32,0,0.0,False,2,False,INVESTIGATE
LLC,float32,0,0.0,False,2,False,INVESTIGATE
Tot sum,float32,0,0.0,False,25641,False,INVESTIGATE
Min,float32,0,0.0,False,9487,False,INVESTIGATE
Max,float32,0,0.0,False,11862,False,INVESTIGATE
AVG,float32,0,0.0,False,37928,False,INVESTIGATE
Std,float32,0,0.0,False,35572,False,INVESTIGATE
Tot size,float32,0,0.0,False,12912,False,INVESTIGATE
IAT,float32,0,0.0,False,9361,False,INVESTIGATE
Number,float32,0,0.0,False,86,False,INVESTIGATE
Magnitue,float32,0,0.0,False,36989,False,INVESTIGATE
Radius,float32,0,0.0,False,34357,False,INVESTIGATE
Covariance,float32,0,0.0,False,34480,False,INVESTIGATE
Variance,float32,0,0.0,False,161,False,INVESTIGATE
Weight,float32,0,0.0,False,91,False,INVESTIGATE
label,str,0,0.0,True,34,False,REMOVE
