fine_label,count,group
DDoS-ICMP_Flood,848088,DDoS
DDoS-UDP_Flood,637558,DDoS
DDoS-TCP_Flood,528499,DDoS
DDoS-PSHACK_Flood,481254,DDoS
DDoS-SYN_Flood,478653,DDoS
DDoS-RSTFINFlood,475441,DDoS
DDoS-SynonymousIP_Flood,422083,DDoS
DoS-UDP_Flood,390422,DoS
DoS-TCP_Flood,314174,DoS
DoS-SYN_Flood,237573,DoS
BenignTraffic,129538,Benign
Mirai-greeth_flood,116133,Mirai
Mirai-udpplain,104814,Mirai
Mirai-greip_flood,88821,Mirai
DDoS-ICMP_Fragmentation,53046,DDoS
MITM-ArpSpoofing,36316,Spoofing
DDoS-UDP_Fragmentation,34169,DDoS
DDoS-ACK_Fragmentation,33581,DDoS
DNS_Spoofing,21214,Spoofing
Recon-HostDiscovery,15737,Recon
Recon-OSScan,11587,Recon
Recon-PortScan,9648,Recon
DoS-HTTP_Flood,8487,DoS
VulnerabilityScan,4396,Recon
DDoS-HTTP_Flood,3371,DDoS
DDoS-SlowLoris,2757,DDoS
DictionaryBruteForce,1541,BruteForce
BrowserHijacking,665,Web
CommandInjection,620,Web
SqlInjection,590,Web
XSS,414,Web
Backdoor_Malware,392,Web
Recon-PingSweep,249,Recon
Uploading_Attack,140,Web
