,mi_score
IAT,1.5541533265950827
Max,1.0749560796546034
Tot size,1.0706690478689027
Magnitue,1.0198263002655639
AVG,1.014001427988555
Tot sum,1.0021547349617337
Min,0.9120078499765532
Header_Length,0.7994438555373531
Protocol Type,0.7281106247367928
Number,0.6420506727730513
Weight,0.6405744520319949
rst_count,0.632671453833348
Variance,0.5840774622590597
Duration,0.5804925744811116
urg_count,0.5800218980274074
Radius,0.5718375502123725
Std,0.5701508928674288
Covariance,0.5537872832775941
flow_duration,0.541416393836661
Rate,0.3761332327363247
Srate,0.37592596994246286
syn_count,0.33577145375911943
ack_flag_number,0.31962727893099174
TCP,0.24739744777161343
HTTPS,0.24013479639746071
ack_count,0.1120197500494835
fin_count,0.09879814435783585
syn_flag_number,0.08666444290786668
ICMP,0.07934530690129327
UDP,0.05569522376789404
rst_flag_number,0.041520868475799055
fin_flag_number,0.039768289899098086
psh_flag_number,0.03355246993216188
LLC,0.027889553808363665
IPv,0.027744193642579962
HTTP,0.010223429533464667
DNS,0.0015962690085680187
ARP,0.0015473332558979536
cwr_flag_number,0.0009692028381262929
Drate,0.0
DHCP,0.0
SSH,0.0
SMTP,0.0
ece_flag_number,0.0
