,rf_impurity_importance
IAT,0.22570594741252198
Header_Length,0.06213500629516329
rst_count,0.062092449632027084
Magnitue,0.05077741743225522
AVG,0.04775544334607939
Tot size,0.041773375060967774
flow_duration,0.04162729197706371
Variance,0.038950821419921615
Min,0.03855693864333315
Protocol Type,0.03598953980679493
urg_count,0.03564443571789126
Max,0.03544727715249993
Tot sum,0.02999268917177001
Rate,0.02864114127518335
Srate,0.026967912723482104
syn_count,0.022255634174743383
Radius,0.02055538525423393
Std,0.018686164493879345
Duration,0.017782648993689715
Covariance,0.01717999652343693
Weight,0.016715783617663942
Number,0.015330299032243313
fin_count,0.013519835341516783
SSH,0.008663524361764196
HTTPS,0.008229911679604355
ack_count,0.0075918022998901396
TCP,0.005874456835528067
UDP,0.004349731579151485
ack_flag_number,0.004305944487541653
psh_flag_number,0.003934735109621182
HTTP,0.003755889795689698
ICMP,0.0034777773577449396
fin_flag_number,0.002236054911500085
syn_flag_number,0.001915715674761789
rst_flag_number,0.0013497924435463755
DNS,9.222974355034228e-05
IPv,6.060932371878771e-05
LLC,5.317154231696049e-05
ARP,2.2430040455577846e-05
ece_flag_number,1.552740249318722e-06
cwr_flag_number,9.949491340964808e-07
Drate,2.406258688950028e-07
DHCP,0.0
SMTP,0.0
