,rf_perm_importance
IAT,0.2639019295899743
rst_count,0.028609075026596466
urg_count,0.027826307621733947
Header_Length,0.006104024127194796
flow_duration,0.004932801077525184
Duration,0.003486340611183203
Rate,0.002438095981728905
Srate,0.002166762641888753
HTTPS,0.0021238177967342286
HTTP,0.0020672086826668324
syn_count,0.0020262158759283945
Variance,0.0019344700703709306
Weight,0.0014894053114965055
Number,0.001175127126501785
ack_count,0.0011107098587699981
Protocol Type,0.0007886235201108426
fin_count,0.0005856115248347616
Min,0.0003767434143103543
syn_flag_number,0.00020301199527605895
TCP,0.0001893477263632093
AVG,0.00017177938061816445
ack_flag_number,0.00014835491962479354
UDP,0.00014445084279257614
Magnitue,0.00014445084279253174
psh_flag_number,0.00014249880437642304
SSH,0.00010541007447022466
Tot sum,7.808153664461415e-05
rst_flag_number,1.952038416110913e-05
LLC,1.9520384161086923e-05
IPv,9.760192080543462e-06
fin_flag_number,7.808153664434769e-06
ICMP,3.9040768322173845e-06
Drate,0.0
cwr_flag_number,0.0
ece_flag_number,0.0
SMTP,0.0
ARP,0.0
DHCP,0.0
DNS,0.0
Max,-4.684892198683066e-05
Covariance,-0.00012297842021533612
Tot size,-0.00012297842021533612
Radius,-0.0002537649940951292
Std,-0.00038845564480713966
